ExperimentTitle,SampleName,SampleDescription,SequencingDate,FileName,FileLocation
A role of Jasmonate in adventitious rooting in Arabidopsis,Col_0T0_1,WT at T0 biological replicate 1,2017-03-30T10:00:00,Col_0T0_1_1.fq.gz,/mnt/picea/storage/data/arabidopsis/cbellini/ninja1-myc2-bgi/F17FTSEUHT0403_ARAjjkT/Clean
A role of Jasmonate in adventitious rooting in Arabidopsis,Col_0T0_1,WT at T0 biological replicate 1,2017-03-30T10:00:00,Col_0T0_1_2.fq.gz,/mnt/picea/storage/data/arabidopsis/cbellini/ninja1-myc2-bgi/F17FTSEUHT0403_ARAjjkT/Clean
A role of Jasmonate in adventitious rooting in Arabidopsis,Col_0T0_2,WT at T0 biological replicate 2,2017-03-30T10:00:00,Col_0T0_2_1.fq.gz,/mnt/picea/storage/data/arabidopsis/cbellini/ninja1-myc2-bgi/F17FTSEUHT0403_ARAjjkT/Clean
A role of Jasmonate in adventitious rooting in Arabidopsis,Col_0T0_2,WT at T0 biological replicate 2,2017-03-30T10:00:00,Col_0T0_2_2.fq.gz,/mnt/picea/storage/data/arabidopsis/cbellini/ninja1-myc2-bgi/F17FTSEUHT0403_ARAjjkT/Clean
A role of Jasmonate in adventitious rooting in Arabidopsis,Col_0T0_3,WT at T0 biological replicate 3,2017-03-30T10:00:00,Col_0T0_3_1.fq.gz,/mnt/picea/storage/data/arabidopsis/cbellini/ninja1-myc2-bgi/F17FTSEUHT0403_ARAjjkT/Clean
A role of Jasmonate in adventitious rooting in Arabidopsis,Col_0T0_3,WT at T0 biological replicate 3,2017-03-30T10:00:00,Col_0T0_3_2.fq.gz,/mnt/picea/storage/data/arabidopsis/cbellini/ninja1-myc2-bgi/F17FTSEUHT0403_ARAjjkT/Clean
A role of Jasmonate in adventitious rooting in Arabidopsis,Col_0T24_1,WT at T24 biological replicate 1,2017-03-30T10:00:00,Col_0T24_1_1.fq.gz,/mnt/picea/storage/data/arabidopsis/cbellini/ninja1-myc2-bgi/F17FTSEUHT0403_ARAjjkT/Clean
A role of Jasmonate in adventitious rooting in Arabidopsis,Col_0T24_1,WT at T24 biological replicate 1,2017-03-30T10:00:00,Col_0T24_1_2.fq.gz,/mnt/picea/storage/data/arabidopsis/cbellini/ninja1-myc2-bgi/F17FTSEUHT0403_ARAjjkT/Clean
A role of Jasmonate in adventitious rooting in Arabidopsis,Col_0T24_2,WT at T24 biological replicate 2,2017-03-30T10:00:00,Col_0T24_2_1.fq.gz,/mnt/picea/storage/data/arabidopsis/cbellini/ninja1-myc2-bgi/F17FTSEUHT0403_ARAjjkT/Clean
A role of Jasmonate in adventitious rooting in Arabidopsis,Col_0T24_2,WT at T24 biological replicate 2,2017-03-30T10:00:00,Col_0T24_2_2.fq.gz,/mnt/picea/storage/data/arabidopsis/cbellini/ninja1-myc2-bgi/F17FTSEUHT0403_ARAjjkT/Clean
A role of Jasmonate in adventitious rooting in Arabidopsis,Col_0T24_3,WT at T24 biological replicate 3,2017-03-30T10:00:00,Col_0T24_3_1.fq.gz,/mnt/picea/storage/data/arabidopsis/cbellini/ninja1-myc2-bgi/F17FTSEUHT0403_ARAjjkT/Clean
A role of Jasmonate in adventitious rooting in Arabidopsis,Col_0T24_3,WT at T24 biological replicate 3,2017-03-30T10:00:00,Col_0T24_3_2.fq.gz,/mnt/picea/storage/data/arabidopsis/cbellini/ninja1-myc2-bgi/F17FTSEUHT0403_ARAjjkT/Clean
A role of Jasmonate in adventitious rooting in Arabidopsis,Col_0T9_1,WT at T9 biological replicate 1,2017-03-30T10:00:00,Col_0T9_1_1.fq.gz,/mnt/picea/storage/data/arabidopsis/cbellini/ninja1-myc2-bgi/F17FTSEUHT0403_ARAjjkT/Clean
A role of Jasmonate in adventitious rooting in Arabidopsis,Col_0T9_1,WT at T9 biological replicate 1,2017-03-30T10:00:00,Col_0T9_1_2.fq.gz,/mnt/picea/storage/data/arabidopsis/cbellini/ninja1-myc2-bgi/F17FTSEUHT0403_ARAjjkT/Clean
A role of Jasmonate in adventitious rooting in Arabidopsis,Col_0T9_2,WT at T9 biological replicate 2,2017-03-30T10:00:00,Col_0T9_2_1.fq.gz,/mnt/picea/storage/data/arabidopsis/cbellini/ninja1-myc2-bgi/F17FTSEUHT0403_ARAjjkT/Clean
A role of Jasmonate in adventitious rooting in Arabidopsis,Col_0T9_2,WT at T9 biological replicate 2,2017-03-30T10:00:00,Col_0T9_2_2.fq.gz,/mnt/picea/storage/data/arabidopsis/cbellini/ninja1-myc2-bgi/F17FTSEUHT0403_ARAjjkT/Clean
A role of Jasmonate in adventitious rooting in Arabidopsis,Col_0T9_3,WT at T9 biological replicate 3,2017-03-30T10:00:00,Col_0T9_3_1.fq.gz,/mnt/picea/storage/data/arabidopsis/cbellini/ninja1-myc2-bgi/F17FTSEUHT0403_ARAjjkT/Clean
A role of Jasmonate in adventitious rooting in Arabidopsis,Col_0T9_3,WT at T9 biological replicate 3,2017-03-30T10:00:00,Col_0T9_3_2.fq.gz,/mnt/picea/storage/data/arabidopsis/cbellini/ninja1-myc2-bgi/F17FTSEUHT0403_ARAjjkT/Clean
A role of Jasmonate in adventitious rooting in Arabidopsis,ninja1myc2_322BT0_1,Mutant at T0 biological replicate 1,2017-03-30T10:00:00,ninja1myc2_322BT0_1_1.fq.gz,/mnt/picea/storage/data/arabidopsis/cbellini/ninja1-myc2-bgi/F17FTSEUHT0403_ARAjjkT/Clean
A role of Jasmonate in adventitious rooting in Arabidopsis,ninja1myc2_322BT0_1,Mutant at T0 biological replicate 1,2017-03-30T10:00:00,ninja1myc2_322BT0_1_2.fq.gz,/mnt/picea/storage/data/arabidopsis/cbellini/ninja1-myc2-bgi/F17FTSEUHT0403_ARAjjkT/Clean
A role of Jasmonate in adventitious rooting in Arabidopsis,ninja1myc2_322BT0_2,Mutant at T0 biological replicate 2,2017-03-30T10:00:00,ninja1myc2_322BT0_2_1.fq.gz,/mnt/picea/storage/data/arabidopsis/cbellini/ninja1-myc2-bgi/F17FTSEUHT0403_ARAjjkT/Clean
A role of Jasmonate in adventitious rooting in Arabidopsis,ninja1myc2_322BT0_2,Mutant at T0 biological replicate 2,2017-03-30T10:00:00,ninja1myc2_322BT0_2_2.fq.gz,/mnt/picea/storage/data/arabidopsis/cbellini/ninja1-myc2-bgi/F17FTSEUHT0403_ARAjjkT/Clean
A role of Jasmonate in adventitious rooting in Arabidopsis,ninja1myc2_322BT0_3,Mutant at T0 biological replicate 3,2017-03-30T10:00:00,ninja1myc2_322BT0_3_1.fq.gz,/mnt/picea/storage/data/arabidopsis/cbellini/ninja1-myc2-bgi/F17FTSEUHT0403_ARAjjkT/Clean
A role of Jasmonate in adventitious rooting in Arabidopsis,ninja1myc2_322BT0_3,Mutant at T0 biological replicate 3,2017-03-30T10:00:00,ninja1myc2_322BT0_3_2.fq.gz,/mnt/picea/storage/data/arabidopsis/cbellini/ninja1-myc2-bgi/F17FTSEUHT0403_ARAjjkT/Clean
A role of Jasmonate in adventitious rooting in Arabidopsis,ninja1myc2_322BT24_1,Mutant at T24 biological replicate 1,2017-03-30T10:00:00,ninja1myc2_322BT24_1_1.fq.gz,/mnt/picea/storage/data/arabidopsis/cbellini/ninja1-myc2-bgi/F17FTSEUHT0403_ARAjjkT/Clean
A role of Jasmonate in adventitious rooting in Arabidopsis,ninja1myc2_322BT24_1,Mutant at T24 biological replicate 1,2017-03-30T10:00:00,ninja1myc2_322BT24_1_2.fq.gz,/mnt/picea/storage/data/arabidopsis/cbellini/ninja1-myc2-bgi/F17FTSEUHT0403_ARAjjkT/Clean
A role of Jasmonate in adventitious rooting in Arabidopsis,ninja1myc2_322BT24_2,Mutant at T24 biological replicate 2,2017-03-30T10:00:00,ninja1myc2_322BT24_2_1.fq.gz,/mnt/picea/storage/data/arabidopsis/cbellini/ninja1-myc2-bgi/F17FTSEUHT0403_ARAjjkT/Clean
A role of Jasmonate in adventitious rooting in Arabidopsis,ninja1myc2_322BT24_2,Mutant at T24 biological replicate 2,2017-03-30T10:00:00,ninja1myc2_322BT24_2_2.fq.gz,/mnt/picea/storage/data/arabidopsis/cbellini/ninja1-myc2-bgi/F17FTSEUHT0403_ARAjjkT/Clean
A role of Jasmonate in adventitious rooting in Arabidopsis,ninja1myc2_322BT24_3,Mutant at T24 biological replicate 3,2017-03-30T10:00:00,ninja1myc2_322BT24_3_1.fq.gz,/mnt/picea/storage/data/arabidopsis/cbellini/ninja1-myc2-bgi/F17FTSEUHT0403_ARAjjkT/Clean
A role of Jasmonate in adventitious rooting in Arabidopsis,ninja1myc2_322BT24_3,Mutant at T24 biological replicate 3,2017-03-30T10:00:00,ninja1myc2_322BT24_3_2.fq.gz,/mnt/picea/storage/data/arabidopsis/cbellini/ninja1-myc2-bgi/F17FTSEUHT0403_ARAjjkT/Clean
A role of Jasmonate in adventitious rooting in Arabidopsis,ninja1myc2_322BT9_1,Mutant at T9 biological replicate 1,2017-03-30T10:00:00,ninja1myc2_322BT9_1_1.fq.gz,/mnt/picea/storage/data/arabidopsis/cbellini/ninja1-myc2-bgi/F17FTSEUHT0403_ARAjjkT/Clean
A role of Jasmonate in adventitious rooting in Arabidopsis,ninja1myc2_322BT9_1,Mutant at T9 biological replicate 1,2017-03-30T10:00:00,ninja1myc2_322BT9_1_2.fq.gz,/mnt/picea/storage/data/arabidopsis/cbellini/ninja1-myc2-bgi/F17FTSEUHT0403_ARAjjkT/Clean
A role of Jasmonate in adventitious rooting in Arabidopsis,ninja1myc2_322BT9_2,Mutant at T9 biological replicate 2,2017-03-30T10:00:00,ninja1myc2_322BT9_2_1.fq.gz,/mnt/picea/storage/data/arabidopsis/cbellini/ninja1-myc2-bgi/F17FTSEUHT0403_ARAjjkT/Clean
A role of Jasmonate in adventitious rooting in Arabidopsis,ninja1myc2_322BT9_2,Mutant at T9 biological replicate 2,2017-03-30T10:00:00,ninja1myc2_322BT9_2_2.fq.gz,/mnt/picea/storage/data/arabidopsis/cbellini/ninja1-myc2-bgi/F17FTSEUHT0403_ARAjjkT/Clean
A role of Jasmonate in adventitious rooting in Arabidopsis,ninja1myc2_322BT9_3,Mutant at T9 biological replicate 3,2017-03-30T10:00:00,ninja1myc2_322BT9_3_1.fq.gz,/mnt/picea/storage/data/arabidopsis/cbellini/ninja1-myc2-bgi/F17FTSEUHT0403_ARAjjkT/Clean
A role of Jasmonate in adventitious rooting in Arabidopsis,ninja1myc2_322BT9_3,Mutant at T9 biological replicate 3,2017-03-30T10:00:00,ninja1myc2_322BT9_3_2.fq.gz,/mnt/picea/storage/data/arabidopsis/cbellini/ninja1-myc2-bgi/F17FTSEUHT0403_ARAjjkT/Clean
